category,zone,subzone,choice,regex,notes,verified by,quantity,unique_type,unique_text,code
The Woods,(combat),normal,,defeated\s+(?:hot|cold|stench|spooky|sleaze)\s+(?:werewolf|bugbear),,rlbond86,,,,
The Woods,(combat),boss,,defeated\s+(?:The Great Wolf of the Air|Falls-From-Sky),,rlbond86,,,,
The Woods,(unlock),Attic,,unlocked the attic of the cabin,,rlbond86,,,,
The Woods,(unlock),Fire Tower,,unlocked the fire watchtower,,rlbond86,,,,
The Woods,Cabin,Kitchen,Raid the spice rack,acquired some dread tarragon,dread tarragon,Aquacadet08,,,,tarragon
The Woods,Cabin,Kitchen,Screw around with the floor mill,made some bone flour,mus only; req old dry bone,Sairindhri,,,,bn-flour
The Woods,Cabin,Kitchen,Clean out the disposal,made the forest less stinky,-stench,,,,,-stench
The Woods,Cabin,Basement,Look through the newspapers,recycled some newspapers,FKs,Xande1,10,fk,FK-1,FKs
The Woods,Cabin,Basement,Read diary,read an old diary,100 turns Bored Stiff,Aquacadet08,,,,effect
The Woods,Cabin,Basement,Check out the lockbox,got a Dreadsylvanian auditor's badge,req replica key,,1,unique,badge,badge
The Woods,Cabin,Basement,Stick a wax banana in the lock,made an impression of a complicated lock,req wax banana,PeKaJe,,,,wax-lock
The Woods,Cabin,Attic,Turn off the music box,made the forest less spooky,-spooky; item for AT,,1,unique,music box,-spooky
The Woods,Cabin,Attic,Check out the wolfsbane,drove some werewolves out of the forest,-werewolves,,,,,-wwolf
The Woods,Cabin,Attic,Poke around in the rafters,drove some vampires out of the castle,-vampires,rlbond86,,,,-vampire
The Woods,Cabin,Attic,Look through the photo albums,flipped through a photo album,+moxie,,,,,+moxie
The Woods,Tree,Top,Stomp on the fruit branch,knocked some fruit loose,req muscle; drops blood kiwi,rlbond86,,,,stomped
The Woods,Tree,Top,Kick the nest,made the forest less sleazy,req muscle; -sleaze,,,,,nest
The Woods,Tree,Top,Grab the shiny thing,acquired a chunk of moon-amber,req muscle; moon amber,Sairindhri,1,unique,moon-amber,amber
The Woods,Tree,Fire Tower,Wind up the siren,drove some ghosts out of the village,-ghosts,,,,,-ghost
The Woods,Tree,Fire Tower,Raid the footlocker,rifled through a footlocker,FKs,rlbond86,10,fk,FK-2,FKs
The Woods,Tree,Fire Tower,Lift the weights,lifted some weights,+muscle,rlbond86,,,,+muscle
The Woods,Tree,Base,Stand near the base looking upward,(?:got a blood kiwi|wasted some fruit),coordinate w/ mus class,rlbond86,1,unique,kiwi,kiwi
The Woods,Tree,Base,Stand near the base looking downward,got a cool seed pod,seed pod,skinz3,,,,seed-pod
The Woods,Tree,Base,Investigate the hole,###NO MESSAGE###,req folder holder; NO MESSAGE IN LOG :(,lordhyperion,,,,folder
The Woods,Burrows,Heat,Pull the cork,made the forest less hot,-hot,rlbond86,,,,-hot
The Woods,Burrows,Heat,Play in the fire,got intimate with some hot coals,100 turns Dragged Through the Coals,rlbond86,,,,effect
The Woods,Burrows,Heat,Melt down an old ball and chain,made a cool iron ingot,"req old ball and chain, gives cool iron ingot",Aquacadet08,,,,ingot
The Woods,Burrows,Cold,Read the heart a story,made the forest less cold,-cold,,,,,-cold
The Woods,Burrows,Cold,Listen to the heart,listened to the forest's heart,+myst,rlbond86,,,,+myst
The Woods,Burrows,Cold,Drink some of the green stuff,drank some nutritious forest goo,100 turns Nature's Bounty,Xande1,,,,effect
